Model;Top-1 Average Rating;Top-3 Average Rating;Top-5 Average Rating;All-labels Average Rating;nDCG-1;nDCG-3;nDCG-5
BART-TL-regular raw;2.78;2.41;2.62;2.61;0.61;0.54;0.64
BART-TL-regular unsupervised;3.20;2.79;2.83;2.61;0.80;0.71;0.78
BART-TL-regular supervised;3.25;2.86;2.72;2.61;0.84;0.75;0.76
BART-TL-ngram raw;3.32;3.37;2.94;2.79;0.75;0.79;0.74
BART-TL-ngram unsupervised;3.57;3.27;3.18;2.79;0.85;0.80;0.81
BART-TL-ngram supervised;3.57;3.25;3.15;2.79;0.86;0.79;0.81
BART-TL-phrase raw;2.60;2.91;2.97;2.80;0.42;0.58;0.64
BART-TL-phrase unsupervised;3.57;3.33;3.20;2.80;0.83;0.81;0.82
BART-TL-phrase supervised;3.47;3.38;3.08;2.80;0.79;0.81;0.79
NETL unsupervised;2.92;3.00;2.85;2.65;0.68;0.77;0.79
NETL supervised;3.62;3.03;2.89;2.61;0.92;0.80;0.83
