Model,T1R,T1P,T1F,T3R,T3P,T3F,T5R,T5P,T5F
Baseline-2,0.9015,0.9119,0.9017,0.9015,0.9119,0.9017,0.9015,0.9119,0.9017
Baseline-3,0.8703,0.9026,0.8817,0.8703,0.9026,0.8817,0.8703,0.9026,0.8817
ds_wiki_tfidf-topics_bhatia,0.928,0.922,0.922,0.928,0.922,0.922,0.928,0.922,0.922
ds_wiki_tfidf-topics_bhatia_tfidf,0.930,0.926,0.925,0.930,0.926,0.925,0.930,0.926,0.925
ds_wiki_sent-topics_bhatia,0.926,0.919,0.919,0.926,0.919,0.919,0.926,0.919,0.919
ds_wiki_sent-topics_bhatia_tfidf,0.933,0.930,0.929,0.933,0.930,0.929,0.933,0.930,0.929
bart_finetuned_terms_labels_ngrams_v5,0.9109,0.9277,0.9153,0.9052,0.9225,0.9094,0.9075,0.9226,0.9107
bart_finetuned_terms_labels_nps_v3,0.9120,0.9266,0.9152,0.9027,0.9215,0.9072,0.9031,0.9208,0.9069
bart_finetuned_terms_labels_sentences_v5,0.9041,0.9233,0.9089,0.8972,0.9209,0.9040,0.8947,0.9182,0.9013
bart_finetuned_terms_labels_v16,0.9064,0.9250,0.9109,0.9016,0.9211,0.9064,0.8981,0.9185,0.9034
bart_finetuned_areej_wiki_sent_v1,0.8891,0.9111,0.8950,0.8753,0.9049,0.8843,0.8740,0.9049,0.8835
bart_finetuned_areej_wiki_sent_v2,0.8995,0.9205,0.9055,0.8983,0.9197,0.9045,0.8989,0.9192,0.9044
bart_finetuned_areej_wiki_tfidf_v1,0.8844,0.9041,0.8904,0.8780,0.9005,0.8853,0.8792,0.9008,0.8862
bart_base_areej_wiki_sent_v1,0.9535,0.9454,0.9474,0.9437,0.9400,0.9392,0.9354,0.9362,0.9325
bart_base_areej_wiki_sent_v2,0.9626,0.9479,0.9537,0.9640,0.9494,0.9552,0.9641,0.9495,0.9553
bart_base_areej_wiki_sent_v3,0.9641,0.9492,0.9553,0.9653,0.9506,0.9565,0.9655,0.9508,0.9568
prophetnet_large_uncased_areej_wiki_sent_v1,0.9635,0.9497,0.9551,0.9634,0.9488,0.9545,0.9634,0.9489,0.9545
bart_base_areej_wiki_sent_v4,0.9634,0.9495,0.9549,0.9638,0.9504,0.9556,0.9640,0.9507,0.9558
bart_base_areej_wiki_sent_v5,0.9656,0.9504,0.9566,0.9655,0.9504,0.9565,0.9656,0.9504,0.9564
bart_base_areej_wiki_sent_v6,0.9598,0.9481,0.9523,0.9623,0.9486,0.9537,0.9623,0.9486,0.9537
bart_base_areej_wiki_sent_v7,0.9556,0.9436,0.9476,0.9565,0.9438,0.9481,0.9565,0.9438,0.9481
bart_base_areej_wiki_sent_v8,0.9628,0.9489,0.9544,0.9638,0.9496,0.9552,0.9637,0.9496,0.9552
bart_base_areej_wiki_sent_v9,0.9622,0.9485,0.9539,0.9622,0.9483,0.9538,0.9623,0.9484,0.9539
