topic_id,domain,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,blogs,sac,r,recombinant,rr,pylorus,mod,amniotic,chorion,amnion,jpred
1,blogs,cell,body,blood,cause,effect,also,immune,disease,system,virus
2,blogs,bacteria,gram,bacterial,negative,positive,wall,stain,bacterium,staining,crystal
3,blogs,gel,buffer,band,sample,run,electrophoresis,sd,agarose,solution,running
4,blogs,etbr,cyp,sedimentation,ferritin,lithium,tuna,clarithromycin,baltic,mag,confocal
5,blogs,blood,pressure,heart,oxygen,flow,vessel,air,volume,muscle,increase
6,blogs,hair,follicle,keratin,grey,white,scalp,disulfide,bond,beard,curl
7,blogs,cell,light,water,molecule,neuron,plant,energy,also,muscle,process
8,blogs,textrm,circ,decomposers,mon,t,biorep,dried,detritus,v,sludge
9,blogs,vaccine,aa,strain,r_,vaccination,n_,hpv,hit,immunity,attenuated
10,blogs,bag,p_i,w_i,crisper,shipment,capsular,caf,refrigerator,encapsulation,capsule
11,blogs,a_,x_,p_,pepper,ij,b_,mycelium,q_,quad,springtail
12,blogs,spider,name,dinosaur,web,genus,specie,family,taxon,venom,clade
13,blogs,energy,atp,reaction,delta,free,mol,weight,hydrolysis,kcal,kg
14,blogs,shiny,moderator,bristle,modencode,bower,scrap,daf,election,bowerbird,pity
15,blogs,go,ensp,influenza,fetus,inversion,menopause,subtype,subtypes,mid,antigenic
16,blogs,ch,g_i,f_i,methionine,folate,marsupial,placental,optimality,thf,monotreme
17,blogs,lip,ibd,mathbb,upper,theta,y_,transplant,donor,cutaneous,align
18,blogs,microgram,grp,milligram,typo,one,would,protein,sequence,also,time
19,blogs,pbmcs,f_a,f_o,cell,light,would,one,also,potential,ion
20,blogs,gluteus,minimus,medius,vibrio,spill,catl,armadillo,pangolin,catb,horizon
21,blogs,rf,botulinum,hay,rubella,emf,botulism,bale,carcinogenicity,neurotoxin,mumps
22,blogs,nbsp,ant,colony,queen,worker,potato,nest,trail,aphid,tomato
23,blogs,xx,bv,acb,impacting,cell,cm,gene,dna,mutation,effect
24,blogs,semen,abstinence,mesoderm,spermatozoon,bdnf,coelom,cent,fulminant,immobilization,hippocampal
25,blogs,surrogate,smile,circumcision,surrogacy,gestational,ssveps,tmao,traditional,foreskin,heightened
26,blogs,amp,text,array,begin,longest,bean,purine,kb,rep,hline
27,blogs,hatching,s_f,modulus,s_m,fry,asynchrony,fitness,fittest,homozygote,male
28,blogs,antibiotic,resistance,resistant,penicillin,staphylococcus,aureus,ccr,grid,lactamase,methicillin
29,blogs,tapeworm,proglottids,would,water,saginata,dna,like,body,one,also
30,blogs,no,calmodulin,guanidine,pectoralis,isothiocyanate,enos,soreness,cell,brain,human
31,blogs,buoyant,xdna,neutrally,would,protein,cell,like,get,one,process
32,blogs,beep,sec,cell,dna,one,gene,protein,different,nbsp,blood
33,blogs,latin,adjective,noun,singular,suffix,masculine,nominative,genitive,tubercle,declension
34,blogs,oncogene,myc,approved,sox,viral,designation,avian,synonym,neuroblastoma,pgc
35,blogs,nicotine,bead,leech,silica,cigarette,smoke,bleach,tar,lengthening,catnip
36,blogs,http,also,number,used,would,one,human,gene,www,see
37,blogs,hydrophobia,rheobase,population,tetanus,would,example,human,like,individual,also
38,blogs,uniprot,protein,rat,homolog,ontology,actor,fgf,recipient,sarcoma,kras
39,blogs,pipette,tip,ul,ml,rnase,pipetting,tube,volume,dam,bsa
40,blogs,would,specie,one,human,like,question,also,time,could,animal
41,blogs,ror,mycobacteria,asd,mz,alveolus,obstruction,discordant,obstruct,epigenomics,castro
42,blogs,potential,ion,membrane,channel,action,sodium,na,voltage,current,potassium
43,blogs,gluten,laca,kinesins,glp,dermatol,smilax,topical,surg,copii,bruising
44,blogs,temperature,primer,heat,cold,degree,pcr,hot,tm,body,annealing
45,blogs,colloidal,veggie,guppy,walsh,one,water,mutation,two,paper,like
46,blogs,mathbf,vector,epsilon,hat,rangle,w_a,a_i,accase,c_i,hidden
47,blogs,orf,omega,oil,cyanide,spasm,orthologs,albicans,fish,dha,none
48,blogs,path,garbage,rho_,rotifer,bc,papaya,pineapple,ac,sludge,grease
49,blogs,glc,sirt,tia,paresthesia,represent,panic,aminoacids,present,example,blood
50,blogs,crow,corvus,carrion,hooded,corvids,cornix,austria,tentatively,ornithologist,vienna
51,blogs,wikipedia,index,w_,title,bar,en,encyclopedia,php,m_,accessed
52,blogs,glove,cattle,effector,aureum,latex,badger,epipremnum,mealworm,sciatic,tuberculosis
53,blogs,paresthesia,torsion,gastropod,metal,mollusc,sinistral,nickel,alloy,chromium,cobalt
54,blogs,regret,also,system,brain,would,body,dna,one,see,question
55,blogs,silicon,tubulin,retinol,cisplatin,retinoic,silicone,retinoids,dislocation,tuba,alpha
56,blogs,mph,panda,df,litter,el,ln,ache,ringer,lifespan,racemic
57,blogs,leukopenia,torr,faha,scd,neurologic,cell,also,biology,one,article
58,blogs,tim,outbreak,ebolavirus,markup,cyc,clk,sbml,suis,zaire,fatality
59,blogs,lb,ft,rpm,metre,initi,kg,weigh,rotor,rnapii,centrifugal
60,blogs,polar,fitness,game,kin,hydrophobic,altruistic,hamilton,polarity,hydrophilic,nonpolar
61,blogs,glucose,sugar,mm,fat,fruit,insulin,acid,lipid,carbohydrate,fructose
62,blogs,mhcii,pufas,mhci,xenon,oblong,cell,hyaline,conidium,one,body
63,blogs,ladybug,sinew,spot,cell,gene,answer,question,different,number,specie
64,blogs,retrovirus,ibs,lentiviruses,gag,lentivirus,env,pol,cushion,capsid,cell
65,blogs,milk,cholesterol,lactose,fat,ldl,horn,phylum,fatty,lipoprotein,hdl
66,blogs,gene,rna,would,also,sequence,dna,one,selection,eye,nbsp
67,blogs,gene,dna,protein,one,sequence,would,two,chromosome,mutation,cell
68,blogs,ligand,receptor,price,z_i,n_i,r_i,w_i,tot,saccade,z_
69,blogs,synesthesia,neighbor,br,inclusive,syn,spelled,synaesthesia,grapheme,misophonia,gustatory
70,blogs,iso,percentile,gapdh,protein,would,human,one,also,imagej,two
71,blogs,one,would,like,also,plant,specie,let,acid,may,even
72,blogs,http,data,file,www,sequence,gt,database,lt,org,ncbi
73,blogs,hplc,lysogenic,prophage,fplc,fermenters,diphtheria,cell,trait,like,plant
74,blogs,dialect,coda,dna,one,also,repertoire,rna,unit,different,question
75,blogs,frac,ce,equation,k_,cdot,left,constant,v_,dt,right
76,blogs,mutagen,carcinogen,carcinogenic,hd,mutagenic,al_,iarc,carcinogenesis,residue,oncogenic
77,blogs,blood,would,protein,specie,dna,question,foreskin,cell,like,human
78,blogs,photoreception,extraretinal,time,also,one,population,size,would,level,specie
79,blogs,meiosis,egg,secondary,sperm,oocyte,primary,ovum,ii,division,follicle
80,blogs,hydrogen,rh,peroxide,incompatibility,rhesus,mother,miscarriage,tfr,pregnancy,rifampicin
81,blogs,spata,digitalis,arrhythmia,f_a,f_b,f_c,cardioversion,wildebeest,cor,intoxication
82,blogs,seed,plant,flower,diploid,hybrid,gamete,pollen,symmetry,fruit,parent
83,blogs,protein,system,would,also,cell,people,one,ant,case,like
84,blogs,sperm,dive,diving,helium,ejaculation,va,nitrogen,diver,gas,tremor
