topic_id,domain,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,blogs,sac,r,recombinant,rr,amniotic,mod,pylorus,chorion,amnion,jpred
1,blogs,cell,body,blood,cause,effect,also,immune,system,disease,virus
2,blogs,bacteria,bacterial,gram,negative,positive,wall,stain,bacterium,staining,crystal
3,blogs,gel,buffer,band,sample,run,electrophoresis,sd,agarose,solution,running
4,blogs,etbr,cyp,sedimentation,ferritin,lithium,tuna,clarithromycin,baltic,mag,confocal
5,blogs,blood,pressure,heart,oxygen,flow,vessel,air,volume,muscle,increase
6,blogs,hair,follicle,keratin,grey,white,scalp,disulfide,bond,beard,curl
7,blogs,cell,light,water,molecule,neuron,plant,energy,also,muscle,process
8,blogs,textrm,circ,decomposers,mon,t,biorep,dried,detritus,v,sludge
9,blogs,vaccine,aa,strain,r_,vaccination,n_,hpv,hit,immunity,attenuated
10,blogs,bag,p_i,w_i,crisper,shipment,capsular,caf,refrigerator,minipreps,encapsulation
11,blogs,a_,x_,p_,pepper,ij,b_,mycelium,q_,quad,springtail
12,blogs,spider,name,dinosaur,web,genus,specie,family,taxon,venom,clade
13,blogs,energy,atp,reaction,delta,free,mol,weight,hydrolysis,kg,entropy
14,blogs,shiny,moderator,bristle,modencode,bower,daf,scrap,election,bowerbird,pity
15,blogs,go,ensp,influenza,fetus,inversion,menopause,subtype,subtypes,mid,antigenic
16,blogs,ch,g_i,f_i,methionine,folate,marsupial,placental,thf,optimality,monotreme
17,blogs,lip,ibd,upper,mathbb,theta,y_,transplant,donor,cutaneous,align
18,blogs,microgram,grp,milligram,typo,one,would,protein,sequence,also,time
19,blogs,pbmcs,f_a,f_o,cell,light,would,one,also,potential,ion
20,blogs,gluteus,minimus,medius,vibrio,spill,catl,armadillo,pangolin,catb,horizon
21,blogs,nbsp,ant,colony,queen,worker,potato,nest,trail,aphid,tomato
22,blogs,xx,bv,acb,impacting,cell,cm,gene,dna,mutation,effect
23,blogs,semen,abstinence,mesoderm,spermatozoon,coelom,bdnf,cent,immobilization,hippocampal,pleural
24,blogs,surrogate,smile,surrogacy,circumcision,gestational,ssveps,tmao,traditional,foreskin,heightened
25,blogs,amp,text,array,begin,longest,bean,purine,rep,pyrimidine,hline
26,blogs,hatching,s_f,modulus,fry,s_m,asynchrony,fitness,fittest,homozygote,male
27,blogs,antibiotic,resistance,resistant,penicillin,staphylococcus,aureus,ccr,grid,lactamase,lactam
28,blogs,tapeworm,proglottids,would,water,saginata,dna,like,body,one,also
29,blogs,no,calmodulin,guanidine,pectoralis,isothiocyanate,enos,soreness,mediation,cell,brain
30,blogs,eyfp,buoyant,neutrally,xdna,would,protein,cell,like,get,one
31,blogs,beep,sec,cell,dna,one,gene,protein,different,nbsp,blood
32,blogs,latin,adjective,noun,singular,suffix,masculine,nominative,genitive,tubercle,declension
33,blogs,oncogene,myc,approved,sox,viral,avian,designation,synonym,neuroblastoma,newick
34,blogs,nicotine,bead,leech,silica,cigarette,smoke,bleach,tar,lengthening,catnip
35,blogs,http,also,number,used,would,one,human,gene,www,see
36,blogs,hydrophobia,rheobase,tetanus,population,would,example,human,like,individual,also
37,blogs,uniprot,protein,rat,homolog,ontology,actor,fgf,recipient,sarcoma,kras
38,blogs,pipette,tip,ul,ml,rnase,pipetting,volume,tube,dam,bsa
39,blogs,would,specie,one,human,like,question,also,time,could,animal
40,blogs,ror,mycobacteria,mz,asd,alveolus,obstruction,discordant,obstruct,epigenomics,castro
41,blogs,potential,ion,membrane,channel,action,sodium,na,voltage,current,potassium
42,blogs,gluten,laca,kinesins,glp,tdcs,dermatol,smilax,topical,copii,bruising
43,blogs,temperature,heat,primer,cold,degree,hot,tm,body,pcr,annealing
44,blogs,colloidal,veggie,guppy,walsh,one,water,mutation,two,paper,like
45,blogs,mathbf,vector,epsilon,hat,rangle,w_a,a_i,accase,c_i,hidden
46,blogs,orf,omega,oil,cyanide,spasm,orthologs,albicans,fish,dha,none
47,blogs,path,garbage,rho_,rotifer,bc,papaya,pineapple,ac,sludge,grease
48,blogs,glc,sirt,tia,paresthesia,represent,panic,aminoacids,present,example,blood
49,blogs,wikipedia,index,w_,title,en,bar,encyclopedia,php,m_,accessed
50,blogs,glove,cattle,aureum,effector,latex,epipremnum,badger,mealworm,tuberculosis,sciatic
51,blogs,paresthesia,torsion,gastropod,mollusc,sinistral,nickel,metal,alloy,chromium,cobalt
52,blogs,av,affy,hist,egret,comparision,ccl,flybase,one,aa,human
53,blogs,regret,also,system,brain,would,body,dna,one,see,question
54,blogs,silicon,tubulin,retinol,cisplatin,retinoic,silicone,retinoids,dislocation,tuba,alpha
55,blogs,mph,panda,df,litter,ln,el,ache,ringer,lifespan,racemic
56,blogs,leukopenia,torr,faha,scd,neurologic,cell,also,biology,one,article
57,blogs,tim,outbreak,ebolavirus,markup,cyc,clk,sbml,suis,ebola,zaire
58,blogs,lb,ft,rpm,metre,initi,kg,weigh,rotor,rnapii,centrifugal
59,blogs,polar,fitness,game,kin,hydrophobic,altruistic,hamilton,polarity,hydrophilic,nonpolar
60,blogs,glucose,sugar,mm,fat,insulin,fruit,acid,lipid,fructose,carbohydrate
61,blogs,mhcii,pufas,mhci,xenon,oblong,cell,hyaline,conidium,one,body
62,blogs,ladybug,sinew,spot,cell,gene,answer,question,different,number,specie
63,blogs,retrovirus,ibs,lentiviruses,gag,lentivirus,env,pol,cushion,cell,capsid
64,blogs,milk,cholesterol,lactose,fat,ldl,horn,fatty,phylum,lipoprotein,hdl
65,blogs,gene,rna,would,also,sequence,dna,one,selection,eye,nbsp
66,blogs,gene,dna,protein,one,sequence,would,two,chromosome,mutation,cell
67,blogs,ligand,receptor,price,z_i,n_i,r_i,w_i,tot,saccade,z_
68,blogs,synesthesia,neighbor,br,inclusive,syn,spelled,synaesthesia,grapheme,nmeth,gustatory
69,blogs,iso,percentile,gapdh,protein,would,human,one,also,two,light
70,blogs,botulinum,clostridium,toxin,botulism,one,carcass,would,like,also,plant
71,blogs,http,data,file,www,sequence,gt,database,org,lt,ncbi
72,blogs,hplc,lysogenic,prophage,fplc,fermenters,diphtheria,cell,trait,like,plant
73,blogs,dialect,coda,dna,one,also,repertoire,rna,unit,different,question
74,blogs,frac,ce,equation,k_,cdot,left,constant,v_,dt,max
75,blogs,mutagen,carcinogen,carcinogenic,hd,mutagenic,al_,iarc,carcinogenesis,residue,oncogenic
76,blogs,blood,would,protein,specie,dna,question,foreskin,cell,like,human
77,blogs,photoreception,extraretinal,time,also,one,population,size,would,level,specie
78,blogs,meiosis,egg,sperm,secondary,oocyte,primary,ovum,ii,division,follicle
79,blogs,hydrogen,rh,peroxide,incompatibility,rhesus,mother,miscarriage,tfr,pregnancy,rifampicin
