topic_id,domain,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,blogs,ball,red,cointegration,urn,egg,rural,stationary,urban,green,governance
1,blogs,army,na,organization,meal,industrial,resident,prize,restaurant,weak,attack
2,blogs,country,rate,currency,exchange,price,export,good,u,usd,foreign
3,blogs,price,market,agent,model,bid,asset,stock,auction,expectation,seller
4,blogs,career,bring,pursuing,frac,utility,mathbf,would,anymore,q_,p_
5,blogs,steel,soybean,c_a,signaling,t_k,mutant,beer,spence,separating,divinity
6,blogs,theta,prime,varepsilon,sim,pr,lambda,rule,domain,receiver,underline
7,blogs,mathbf,vert,distribution,capm,cauchy,eu,member,dutch,component,matrix
8,blogs,p_s,coke,can,c_s,p_l,c_l,peter,alice,pln,foreign
9,blogs,apple,tariff,biggr,candle,i_i,clothes,kid,mu_u,product,xyz
10,blogs,sigma_,turnover,digit,ldots,coordinate,decimal,tenure,underlined,monotone,wise
11,blogs,discounting,sigma_a,sigma_b,r_d,commerce,hyperbolic,exponential,wheat,interstate,bob
12,blogs,wto,dispute,retaliation,certainty,concession,defendant,resolution,illustrate,nuance,panel
13,blogs,df,np,h_t,missing,print,vegan,manufacturing,data,food,post
14,blogs,airbnb,price,hotel,rental,increase,rent,city,elastic,revenue,housing
15,blogs,pi,coffee,sugar,price,s_w,unit,share,broker,one,graphic
16,blogs,http,www,textbf,com,banana,pdf,water,apartment,org,price
17,blogs,index,hierarchy,ingredient,compact,assuming,product,way,excel,data,db
18,blogs,box,player,machine,z_,joe,s_j,s_i,offer,choose,siren
19,blogs,price,would,good,cost,one,market,model,example,also,question
20,blogs,price,producer,risk,would,utility,unit,demand,sell,dollar,p_
21,blogs,br,leftward,israel,shift,cyclic,lm,asian,rer,balassa,xx
22,blogs,capitalism,m_r,wood,merchant,rice,ring,ph,corporate,argues,peasant
23,blogs,treatment,service,member,article,gat,commitment,limitation,ijt,mfn,supplier
24,blogs,car,pool,fish,common,boot,cheap,durable,rival,couple,gdp_
25,blogs,de,dealer,primary,york,n_u,transformation,la,allowed,participate,landowner
26,blogs,w_l,rho,manager,t_l,t_m,w_m,company,gt,varepsilon_t,b_x
27,blogs,coalition,stagnation,secular,core,natural,steady,hart,ownership,cap,launched
28,blogs,frac,function,x_,partial,p_,beta,equation,right,alpha,left
29,blogs,fuel,airline,truck,plane,flight,passenger,price,airport,burn,macro
30,blogs,circ,xt,x_a,x_n,excludable,t_n,andrew,t_a,fish,pk
31,blogs,space,theta_i,beta,m_zx,alpha_k,m_zu,ex,s_t,ir,location
32,blogs,oilinos,changer,tonne,would,inflation,rate,example,delta,good,growth
33,blogs,s_i,cheese,sigma_i,s_,lambda_i,sandwich,eating,pi,p_,cheaper
34,blogs,dealer,tau_,gambling,db,θ_,rf,tractor,da,h_u,car
35,blogs,p_x,p_y,l_,r,frac,refugee,c,p_z,change,p_xx
36,blogs,token,z_t,q_t,buy,meme,sell,curve,λ_,enthusiast,sa
37,blogs,seed,framing,chance,richer,certain,choice,thaler,random,today,imagine
38,blogs,ethical,hospital,charity,affordable,patient,visit,colony,organization,coordination,care
39,blogs,sargent,alpha_,hansen,lars,robustness,thomas,gun,delta,cesdata,de
40,blogs,demanded,quantity,dp,price,dq,change,elasticity,demand,marshall,inelastic
41,blogs,remittance,exclude,bad,individual,unable,noise,com,w_i,excludability,public
42,blogs,police,insurance,airport,capacity,forecast,scenario,theft,sick,reallocation,power
43,blogs,glass,bottle,fund,manager,kahneman,daniel,typical,etf,helping,recycling
44,blogs,p_n,cdots,faire,laissez,p_,ideal,dc,woman,era,see
45,blogs,gen,emp,sd,h_,active,usury,re,capitalism,null,alternative
46,blogs,interval,non,song,succsim,lagged,aggregator,rivalry,riding,offshore,excludability
47,blogs,utility,function,preference,individual,choice,axiom,ordinal,allocation,expected,m_
48,blogs,col,weighting,wage,state,mw,iota,r_m,singer,aw,humane
49,blogs,announcement,chapter,ic,state,realized,mwg,kehoe,agent,compatibility,incentive
50,blogs,a_,epsilon,u_,cdot,e_,ilo,big,case,time,block
51,blogs,meat,p_xx,p_yy,get,side,add,industrial,organic,insensitive,ration
52,blogs,hat,cohort,pd,red,g_x,pf,alpha_,ytm_n,security,steven
53,blogs,risk,xsp,cad,premia,recycling,hedging,manager,preferential,usd,personal
54,blogs,id,xx,df,al,year,lt,state,paste,xtreg,merge
55,blogs,q_,firm,q_i,pi_,p_,response,best,profit,dq_,cournot
56,blogs,bike,composite,j_,neighborhood,tenant,province,lot,sharing,spread,gentrification
57,blogs,voting,n_l,q_l,q_n,c_n,n_n,clarke,w_h,product,pi_n
58,blogs,power,strong,d_i,calculator,plant,mwh,nbsp,form,news,problem
59,blogs,swiss,franc,pizza,textrm,pop,broker,watch,russia,forex,ax_
60,blogs,kkt,condition,ii,maximum,global,coal,qualification,slater,theorem,marriage
61,blogs,ticket,movie,energy,eta,crop,tx,kg,bread,price,p_j
62,blogs,player,game,strategy,equilibrium,payoff,probability,t_,nash,set,theta
63,blogs,tax,income,wealth,saving,rate,inequality,consumption,government,household,increase
64,blogs,homothetic,psi_u,matched,nu,nu_s,twice,seller,forall,au,ay
65,blogs,widetilde,sigma,trump,t_j,exposure,white,certificate,align,retirement,end
66,blogs,c_,period,m,mr,consumption,youth,decline,linguistic,dollar,axis
67,blogs,lifetime,unfunded,npv,technology,sf,funded,arch,bedroom,relocation,integrate
68,blogs,ice,cream,participant,reward,tau,cereal,time,rl,l_a,varepsilon_
69,blogs,year,gdp,value,data,variable,would,price,capital,time,growth
70,blogs,monthly,percentage,f_t,decimal,mdp,formula,zone,target,expressed,rp
71,blogs,would,x_,value,lambda,price,demand,could,one,function,model
72,blogs,l_k,aircraft,movement,cap,pregnant,subset,collective,type,negative,associated
73,blogs,cooky,logically,ingredient,demonstrate,isnt,equipment,price,laborer,checking,generates
74,blogs,err,ride,n_j,phone,trump,apple,donald,ytm,president,tariff
75,blogs,mathcal,information,set,distribution,decision,signal,p_,structure,action,state
76,blogs,v_i,v_,bidder,u_i,m_i,textbf,expected,dv_,distribution,geq
77,blogs,one,rate,utility,market,price,good,currency,unit,government,would
78,blogs,capitalism,industrial,agrarian,keynesianism,mercantilism,revolution,exploitation,century,th,difference
79,blogs,amp,x_,hline,text,boldsymbol,quad,array,qquad,begin,end
80,blogs,beta_i,borrowed,bin,prod_,constrain,gamma_j,constrained,np_j,geary,gamma_i
81,blogs,q_b,c_b,c_g,q_g,pi,y_b,y_g,x_b,c_,cointegrated
82,blogs,money,rate,bank,interest,inflation,would,bond,government,debt,central
83,blogs,mathop,currency,loc,usd,village,restriction,s_y,kr,quote,convertible
84,blogs,carbon,vat,fee,strictly,prefers,price,year,indifferent,map,schedule
85,blogs,tuition,healthcare,mdash,pi_l,pi_h,offering,college,announce,company,founder
86,blogs,cost,tc,curve,mc,production,leisure,function,labor,param,substitution
87,blogs,advertising,fa,ca,bop,oa,ka,cola,u_i,increasing,pepsi
88,blogs,model,var,dsge,forecast,sample,forecasting,amp,parameter,shock,chance
