topic_id,domain,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,blogs,eve,charlie,ashley,laura,westlaw,lexisnexis,ebay,law,carer,court
1,blogs,law,state,court,would,case,government,right,federal,act,united
2,blogs,german,germany,die,der,da,bgb,und,im,oder,für
3,blogs,smoking,marijuana,smoke,cigarette,tobacco,plant,paul,weed,au,smoker
4,blogs,beer,ocean,cow,tortuous,can,louis,motorbike,hoffman,tenant,may
5,blogs,controller,processor,weserve,ourcontent,data,iframe,dpa,quran,upl,finnegan
6,blogs,vat,chunk,supply,irish,torrent,eu,intra,wasp,company,bee
7,blogs,speed,limit,mph,hour,prima,facie,flight,posted,mile,zone
8,blogs,contract,party,agreement,term,clause,breach,would,damage,offer,law
9,blogs,registrar,ford,solo,blm,registrant,whois,blackberry,mega,capcom,godaddy
10,blogs,would,company,use,work,copyright,legal,law,data,may,could
11,blogs,case,law,would,person,court,crime,child,criminal,judge,one
12,blogs,xxxx,pg,lamine,guèye,atty,lounge,replaced,law,colony,state
13,blogs,state,would,law,court,one,case,without,legal,right,jury
14,blogs,schedule,cola,coca,attachment,contentious,pepsi,bell,irc,mobility,xor
15,blogs,dd,donut,dunkin,dancing,fratboy,eagle,sandwich,loc,memorial,festival
16,blogs,burger,franchise,mou,franchisee,franchisor,academy,meat,winner,king,hob
17,blogs,fox,metric,rescuetime,television,yellowknife,apparel,school,font,station,compatible
18,blogs,landlord,tenant,lease,month,rent,notice,day,property,pay,fee
19,blogs,inadmissibility,alien,would,one,country,also,state,could,legal,company
20,blogs,court,law,case,state,person,right,u,legal,one,trial
21,blogs,shop,wall,ball,cube,ink,pawn,rubik,golf,merritt,painted
22,blogs,suffix,bone,downtown,bob,walter,grandma,ticker,jesse,ash,launcher
23,blogs,rat,juris,sui,portuguese,mouse,rodent,portugal,arrogation,adoption,grandparent
24,blogs,lexis,reilly,carp,cod,chef,oliver,forgive,rip,debt,forgiven
25,blogs,markup,pci,ds,metadata,element,enron,fidelity,plurality,tissue,compliant
26,blogs,data,would,person,one,may,service,use,could,property,like
27,blogs,stereo,holmes,trigg,shapiro,cordon,hastings,revolution,sir,serial,jonathan
28,blogs,would,country,legal,person,police,state,crime,one,time,case
29,blogs,license,vehicle,country,code,citizen,state,resident,citizenship,registration,gpl
30,blogs,inhabited,camp,septic,tehlirian,scout,bsa,surrounded,property,would,question
31,blogs,venmo,aws,paypal,agb,spraying,powered,squirrel,escrow,gray,right
32,blogs,currency,betty,cbsa,courier,fung,manfred,pokeball,monetary,traveller,instrument
33,blogs,would,law,use,legal,property,u,one,crime,time,also
34,blogs,firearm,military,gun,weapon,patient,war,licensee,state,force,doctor
35,blogs,exclusion,country,nba,standard_rate,false,cyprus,greece,czech,austria,pt
36,blogs,provisional,mb,lamp,lhd,byte,dt,kb,gb,embodiment,trait
37,blogs,toll,latin,english,germanic,spelling,throne,tolling,word,verb,language
38,blogs,exposure,chemical,skin,exposed,weakness,cancer,dichlorvos,toxic,toxicity,delayed
39,blogs,vegetarian,rutgers,ipfs,singapore,daca,chancellor,undocumented,would,steward,dream
40,blogs,numeral,turner,suffix,william,naming,name,numerical,trademark,law,product
41,blogs,jd,ostensible,boiler,supermarket,hydrolevel,oxford,llb,ba,josephine,miller
42,blogs,distributor,bobby,romeo,juliet,embryo,kumaran,chew,lampshade,wholesaler,sole
43,blogs,law,would,case,state,person,court,legal,company,could,may
44,blogs,java,oracle,seed,api,fmla,sql,farmer,mysql,crypto,recertification
45,blogs,party,would,law,right,may,citizenship,contract,license,new,even
46,blogs,court,would,question,case,legal,information,user,one,law,right
47,blogs,prize,drawing,raffle,lottery,ticket,bpa,shkreli,chance,would,receptacle
48,blogs,compound,diabetes,case,court,would,law,one,legal,may,party
49,blogs,apple,orange,pear,state,would,contract,company,law,legal,use
50,blogs,law,would,country,right,copyright,may,legal,rule,person,use
51,blogs,contract,law,would,give,use,right,lawyer,evidence,question,case
52,blogs,law,state,may,property,business,service,use,person,company,also
53,blogs,dns,server,ddos,attack,ntsb,stress,upstream,test,cloudflare,uscode
54,blogs,merchandise,np,remarriage,vic,unordered,maintenance,computational,brilliant,would,one
55,blogs,brief,amicus,curia,timeframe,overpayment,motion,helicopter,court,party,would
56,blogs,case,state,law,would,court,country,group,religious,legal,pardon
57,blogs,law,state,would,work,use,right,one,government,also,time
58,blogs,discretionary,stgb,syo,chuck,prius,tomato,filipino,trim,buffalo,bob
59,blogs,de,la,french,bylaw,et,translation,inheritance,en,microsoft,el
60,blogs,indemnified,puppy,indemnifying,breeder,broadband,worm,breed,commencement,dial,party
61,blogs,property,right,would,party,state,may,user,public,law,case
62,blogs,police,would,car,officer,get,could,person,question,right,one
63,blogs,beef,aaron,japan,designation,kobe,chicken,geographic,certified,cream,min
64,blogs,mr,blockchain,founder,token,softdao,buisnessman,incumbentco,softcoin,largest,ethereum
65,blogs,patreon,swing,golfer,subscribed,patenting,diamond,work,would,use,jqning
66,blogs,cryptographic,munition,cryptography,mosquito,specie,itar,croatia,descendant,weapon,insect
67,blogs,gst,dlna,sauce,dodgy,would,alliance,law,court,lawyer,case
