topic_id,domain,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,blogs,camera,photo,would,one,like,get,take,time,good,picture
1,blogs,flash,camera,shutter,speed,mode,use,exposure,light,manual,set
2,blogs,radiation,temp,mr,dose,rggb,rfusca,encounter,radioactive,ionizing,sick
3,blogs,color,print,paper,profile,printer,negative,printing,space,colour,srgb
4,blogs,cz,skinned,seagull,cbr,miksang,use,photography,lens,camera,one
5,blogs,canon,eos,ii,mark,model,iii,rebel,camera,digital,fuji
6,blogs,light,image,exposure,color,camera,iso,white,noise,one,use
7,blogs,solstice,yay,lens,camera,mm,canon,photo,time,get,would
8,blogs,content,fill,warp,warping,istock,addon,refinement,hawk,kite,intriguing
9,blogs,lens,mm,sensor,focal,length,image,distance,camera,field,size
10,blogs,battery,charge,cell,capacity,charger,life,aa,cycle,charged,charging
11,blogs,lens,mm,image,like,filter,layer,would,use,canon,photo
12,blogs,float,int,startup,lytro,cleanup,shutdown,unsigned,trey,char,surrealistic
13,blogs,gel,cto,velcro,light,use,flash,lens,photo,get,mm
14,blogs,eclipse,pad,swab,adhesive,gently,fluid,risky,pec,nervous,wand
15,blogs,file,image,raw,lightroom,photo,jpeg,use,photoshop,software,data
16,blogs,bull,ctein,lens,photo,aperture,mm,one,light,like,take
17,blogs,ycbcr,col,bespoke,image,lens,use,would,color,filter,may
18,blogs,avisynth,camera,light,lens,image,one,use,need,canon,get
19,blogs,lens,mm,camera,get,image,one,good,would,focus,canon
20,blogs,interpolation,dispersion,digic,inc,sraw,fluorite,ud,mraw,chrominance,avenue
21,blogs,filter,light,lens,glass,nd,front,element,reflection,stop,uv
22,blogs,street,bresson,cartier,henri,lens,mm,angle,get,like,lot
23,blogs,tripod,head,camera,use,right,release,mount,weight,one,need
24,blogs,index,disk,ricoh,shell,activate,dn,adox,bk,fw,diskutil
25,blogs,positive,john,copper,gelatine,emsp,doe,joseph,presumed,chloride,sir
26,blogs,compact,powershot,sx,h,canon,ixus,camera,elph,rome,model
27,blogs,card,sd,cf,reader,camera,adapter,computer,dsc,speed,vehicle
28,blogs,dxo,fungus,fm,growth,spore,zeiss,benchmark,fungal,ze,slrgear
29,blogs,flash,shot,lens,get,different,shutter,camera,light,try,take
30,blogs,mini,instax,aurora,asset,warmth,motorcycle,borealis,spectrum,latex,cooler
31,blogs,hood,shape,bokeh,corner,vignetting,flower,edge,blade,round,nbsp
32,blogs,pixel,image,resolution,size,quality,mp,screen,detail,per,print
33,blogs,th,st,factory,urban,july,mar,cement,ny,kingston,day
34,blogs,image,lens,light,sensor,point,camera,subject,focus,get,distance
35,blogs,electronic,food,dog,candle,crowd,signature,cake,bowl,heading,speaker
36,blogs,lens,mm,focus,camera,af,aperture,zoom,nikon,body,use
37,blogs,lens,get,image,mm,camera,one,photo,good,time,use
38,blogs,http,com,www,amp,site,photo,link,page,html,review
39,blogs,bird,wildlife,animal,hd,gopro,flight,underwater,fly,housing,hero
40,blogs,droid,g,lens,camera,image,get,would,body,light,also
41,blogs,gaussian,heif,smoothly,smoothed,taper,hevc,hexagon,christian,examines,gesture
42,blogs,star,grip,transformation,pi,diamond,co,blob,array,sin,celestial
43,blogs,windmill,card,image,camera,photo,one,get,like,picture,lens
44,blogs,file,lens,camera,raw,one,image,would,new,photo,length
45,blogs,camera,lens,get,photo,light,flash,use,make,need,good
46,blogs,image,photo,exif,file,data,number,tag,date,metadata,use
47,blogs,lens,camera,mm,light,would,use,one,aperture,focus,like
48,blogs,usb,bandwidth,mbps,firewire,requesting,emulating,utilizes,dmii,pci,fw
49,blogs,lens,camera,get,want,image,may,one,use,would,need
50,blogs,display,monitor,device,screen,calibration,pro,hardware,calibrated,calibrate,software
51,blogs,oriented,spiral,cotton,polish,dip,bud,bread,emailed,rubbed,gmail
52,blogs,sun,hour,sunset,horizon,texture,rise,cube,astronomical,sky,twilight
53,blogs,hat,cursor,staged,mirage,mountable,avchd,usefilm,vhd,staging,humongous
54,blogs,signal,rate,frequency,pattern,wave,sampling,aliasing,hz,discrete,alias
55,blogs,authenticity,spanish,fractionally,widen,greenness,var_max,purity,camera,range,lens
56,blogs,wps,blouse,camera,lens,use,one,image,mode,like,photo
57,blogs,gt,lt,cat,asa,echo,tif,script,li,insect,txt
58,blogs,chimp,camera,flash,use,lens,nikon,canon,one,take,photo
59,blogs,lens,aperture,mm,camera,shutter,element,would,go,one,battery
60,blogs,face,lighting,rembrandt,xqd,compactflash,comic,chiaroscuro,distinguishes,gbps,pci
61,blogs,container,hunting,associate,duck,synonym,fishing,infer,trait,swimming,fungi
62,blogs,beam,electron,retro,styling,nod,labelling,ebc,moniker,luminous,devised
63,blogs,picasaweb,image,camera,lens,would,take,one,focus,photography,shot
64,blogs,camera,use,photo,get,would,shutter,one,iso,image,like
65,blogs,picture,would,need,camera,get,lens,take,image,like,shot
66,blogs,bpc,xps,bit,image,file,one,also,mm,channel,light
67,blogs,pack,lp,rated,supplied,oem,bp,compatible,eh,camcorder,optional
68,blogs,heated,wr,steam,arctic,coast,supreme,ocean,skiing,pacific,sauna
69,blogs,camera,get,lens,using,photo,one,picture,film,use,also
70,blogs,image,iso,camera,lens,one,use,light,flash,get,aperture
71,blogs,deviantart,ezprints,rafter,rochester,rafting,mm,lens,camera,image,good
72,blogs,camera,lens,light,get,image,shot,much,like,mm,one
73,blogs,lens,dust,sensor,clean,cleaning,spot,remove,contact,use,cloth
74,blogs,lens,use,get,shot,camera,one,canon,picture,see,pentax
75,blogs,temperature,water,weather,camera,bag,lens,air,inside,cold,plastic
